match_id,date,kickoff_time_utc,stage,home_code,away_code,status,home_score,away_score,home_penalties,away_penalties,winner_code,home_source,away_source,verified_as_of
97,2026-07-09,20:00,Quarter-finals,FRA,MAR,Completed,2,0,,,FRA,W89,W90,2026-07-10
98,2026-07-10,19:00,Quarter-finals,ESP,BEL,Completed,2,1,,,ESP,W93,W94,2026-07-15
99,2026-07-11,21:00,Quarter-finals,NOR,ENG,Completed,1,2,,,ENG,W91,W92,2026-07-15
100,2026-07-12,01:00,Quarter-finals,ARG,SUI,Completed,3,1,,,ARG,W95,W96,2026-07-15
101,2026-07-14,20:00,Semi-finals,FRA,ESP,Completed,0,2,,,ESP,W97,W98,2026-07-15
102,2026-07-15,20:00,Semi-finals,ENG,ARG,Completed,1,2,,,ARG,W99,W100,2026-07-16
103,2026-07-18,22:00,Third-place match,FRA,ENG,Scheduled,,,,,,L101,L102,2026-07-16
104,2026-07-19,20:00,Final,ESP,ARG,Scheduled,,,,,,W101,W102,2026-07-16
